Account,total_pnl,trades,win_rate,avg_pnl,total_volume,avg_roi,short_share,active_days,coins,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,fear_bucket_pnl,greed_bucket_pnl,antifragility_score,cluster,cluster_label
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,5482,0.8954761036118205,153.30582911638086,208878970.18,0.02142417426307257,0.8064574972637724,24,4,-71121.820704,367166.216924,381330.49405,163047.664946,0.0,296044.39622,163047.664946,0.15824983569106857,0,Volume-First Short Specialists
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,426,0.9882629107981221,255.23759805633802,341856.86,0.4781876908712102,0.7746478873239436,28,16,2037.258612,2040.359057,1258.120923,30203.401038,73192.077142,4077.617669,103395.47817999999,-0.9134254490985877,3,Precision Snipers
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,737,0.746268656716418,582.5720025983718,5542302.86,0.03670077123896202,0.649932157394844,9,6,33980.0,-58219.752261,0.0,453595.31817600003,0.0,-24239.752261,453595.31817600003,-1.112912253550703,2,Opportunistic Swing Traders
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,558,0.7741935483870968,646.1281541738351,1187048.31,0.19166944520683027,0.11290322580645161,20,26,198900.56161,144514.3446,-4526.698469,21077.717,573.585288,343414.90621000004,21651.302288,0.8924503278326389,2,Opportunistic Swing Traders
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,8660,0.9263279445727483,43.775451121362586,12964285.41,0.031606649773113275,0.49491916859122403,144,97,25672.838055,49364.275663,-2605.9564710000004,95937.394195,210726.855269,75037.11371800001,306664.249464,-0.6109995838661766,1,Diversified Alpha Scalers
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,746,0.9450402144772118,19.973784245308313,2919969.5300000003,0.006518942887344566,0.3579088471849866,18,7,3222.822132,4036.552319,-395.0559780000001,6775.291988000001,1260.832586,7259.374451,8036.124574000001,-0.05212933068835088,2,Opportunistic Swing Traders
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,2341,0.7522426313541222,-71.60236000897052,5372038.49,0.08047821926952523,0.1794105083297736,49,7,12713.493131000001,151292.732859,47610.460743999996,-360101.898234,-19135.913281,164006.22599,-379237.811515,-3.240904380129641,2,Opportunistic Swing Traders
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,714,0.8837535014005602,91.7558233977591,5934264.76,0.018430404478918565,0.8683473389355743,23,10,-4825.496358,258.41533,12960.109958,57108.9113,11.717676000000012,-4567.0810280000005,57120.628976,-0.9416007589212996,2,Opportunistic Swing Traders
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,6559,0.5990242415002287,6.69568668638512,6141636.37,0.0038981063232788687,0.09178228388473852,145,93,1774.309786,9299.484548,808.3427170000001,-24036.539128,56071.411052999996,11073.794334,32034.871924999996,-0.477288369124931,1,Diversified Alpha Scalers
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,892,0.976457399103139,141.90464364798206,3227118.29,0.044937843955185915,0.4899103139013453,8,5,3425.96095,-621.54506,0.0,60254.251561,63520.274683,2804.41589,123774.52624400001,-0.955689061028316,2,Opportunistic Swing Traders
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,5561,0.9703290775040461,19.11578407768387,10339111.75,0.012381733269771185,0.9598992986872864,47,15,1011.258943,12934.469345,9467.021637,35098.877549,47791.247782,13945.728288,82890.12533099999,-0.6485656843896948,0,Volume-First Short Specialists
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,255,0.9372549019607843,285.67248734117646,307895.91,0.4514460420619211,1.0,24,9,-961.048507,-16719.913714000002,-53.631353999999995,44169.810737,46411.26711,-17680.962221,90581.07784700001,-1.4861669873286207,3,Precision Snipers
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,230,1.0,294.9809544826087,655894.7,0.11886424934128,1.0,7,4,622.41079,8129.3406589999995,0.0,38168.35486,20925.513222,8751.751449,59093.868082,-0.7420098302735328,3,Precision Snipers
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,230,0.7478260869565218,94.6036163173913,2268016.73,0.0061267316332964394,1.0,13,3,0.0,14542.702934,7157.683579,43.2005,15.24474,14542.702934,58.44524,0.6656725810659841,2,Opportunistic Swing Traders
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,6279,0.7910495301799649,341.3573176762223,28207429.09,0.14635437274049967,0.5338429686255773,154,56,9544.906134,93165.161357,401309.434693,534058.23633,1105304.859175,102710.06749100001,1639363.095505,-0.7169289466429478,1,Diversified Alpha Scalers
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,2641,0.8034835289663006,8.515146088981448,54428452.04,5.946596971202177e-05,0.625141991669822,34,7,-33221.806818,51692.358711,4017.948928,0.0,0.0,18470.551893000003,0.0,0.8213331800113597,0,Volume-First Short Specialists
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,9997,0.9911973592077623,94.04459400020006,34795940.84,0.02848044981348046,1.0,23,2,261917.977792,620872.375844,57368.780126,4.672458,0.0,882790.3536360001,4.672458,0.9389700766372904,0,Volume-First Short Specialists
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,1177,0.7349192863211554,187.35689197366185,10242344.58,0.0876993310544623,0.3848768054375531,34,20,37712.523408999994,236797.727737,-90302.553718,30258.203855,6053.160569999998,274510.251146,36311.364425,1.0801736807668152,2,Opportunistic Swing Traders
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,22551,0.7630703738193428,37.07509880169393,37903801.19,0.020192710547049866,0.7502993215378475,126,16,30774.092128,55978.79696,27116.682664,243399.51314,478811.468185,86752.889088,722210.9813250001,-0.7600441008923655,1,Diversified Alpha Scalers
